pm,runs,mean,std_dev,min,max,median,ci_lower,ci_upper
0.01,30,1299.83,8.90724,1297,1339,1297,1296.65,1303.02
0.05,30,1297.77,4.92398,1293,1324,1297,1296,1299.53
0.1,30,1297.27,1.43604,1297,1305,1297,1296.75,1297.78
0.15,30,1297,0,1297,1297,1297,1297,1297
0.2,30,1297,0,1297,1297,1297,1297,1297
0.3,30,1296.7,1.61555,1288,1297,1297,1296.12,1297.28
0.4,30,1297,0,1297,1297,1297,1297,1297
0.5,30,1297,0,1297,1297,1297,1297,1297
