population_size,runs,mean,std_dev,min,max,median,ci_lower,ci_upper
50,30,1665.83,25.9757,1623,1723,1663.5,1656.54,1675.13
100,30,1640.07,24.7547,1602,1713,1632.5,1631.21,1648.93
150,30,1629.2,18.5282,1599,1679,1626,1622.57,1635.83
180,30,1623.13,14.7258,1595,1660,1618,1617.86,1628.4
200,30,1624.97,14.2606,1597,1664,1622,1619.86,1630.07
250,30,1625.17,14.1541,1592,1656,1624,1620.1,1630.23
300,30,1618.83,13.7382,1593,1654,1618,1613.92,1623.75
400,30,1617.7,11.2491,1592,1643,1618,1613.67,1621.73
