px,runs,mean,std_dev,min,max,median,ci_lower,ci_upper
0.5,30,1642.97,24.3837,1594,1732,1640,1634.24,1651.69
0.6,30,1635.2,20.729,1608,1697,1631,1627.78,1642.62
0.7,30,1635.8,20.7853,1594,1681,1635,1628.36,1643.24
0.8,30,1625.13,15.8045,1583,1665,1626,1619.48,1630.79
0.85,30,1631.03,18.251,1595,1680,1626,1624.5,1637.56
0.9,30,1629,13.0971,1608,1674,1626,1624.31,1633.69
0.95,30,1626.27,13.304,1600,1657,1623,1621.51,1631.03
1,30,1625.03,9.57247,1606,1648,1624,1621.61,1628.46
