tournament_size,runs,mean,std_dev,min,max,median,ci_lower,ci_upper
2,20,2341.25,8.64219,2326,2357,2343,2337.46,2345.04
3,20,2328.85,8.97928,2309,2348,2330,2324.91,2332.79
4,20,2331.5,9.05815,2315,2352,2330.5,2327.53,2335.47
5,20,2325.65,10.4512,2297,2345,2327,2321.07,2330.23
6,20,2323.8,12.3596,2305,2350,2320,2318.38,2329.22
7,20,2331.35,10.6361,2315,2356,2330,2326.69,2336.01
8,20,2330.8,10.7359,2315,2355,2330.5,2326.09,2335.51
10,20,2331.25,11.9786,2311,2349,2332,2326,2336.5
