px,run,makespan
0.5,0,1297
0.5,1,1297
0.5,2,1297
0.5,3,1297
0.5,4,1297
0.5,5,1297
0.5,6,1297
0.5,7,1297
0.5,8,1297
0.5,9,1297
0.5,10,1297
0.5,11,1297
0.5,12,1297
0.5,13,1297
0.5,14,1305
0.5,15,1297
0.5,16,1339
0.5,17,1297
0.5,18,1305
0.5,19,1297
0.5,20,1297
0.5,21,1297
0.5,22,1297
0.5,23,1297
0.5,24,1297
0.5,25,1297
0.5,26,1297
0.5,27,1297
0.5,28,1297
0.5,29,1297
0.6,0,1297
0.6,1,1297
0.6,2,1297
0.6,3,1323
0.6,4,1297
0.6,5,1297
0.6,6,1297
0.6,7,1297
0.6,8,1297
0.6,9,1297
0.6,10,1297
0.6,11,1321
0.6,12,1297
0.6,13,1297
0.6,14,1297
0.6,15,1297
0.6,16,1297
0.6,17,1297
0.6,18,1297
0.6,19,1297
0.6,20,1297
0.6,21,1305
0.6,22,1297
0.6,23,1297
0.6,24,1297
0.6,25,1297
0.6,26,1297
0.6,27,1297
0.6,28,1297
0.6,29,1297
0.7,0,1297
0.7,1,1297
0.7,2,1297
0.7,3,1297
0.7,4,1291
0.7,5,1297
0.7,6,1297
0.7,7,1297
0.7,8,1297
0.7,9,1297
0.7,10,1297
0.7,11,1297
0.7,12,1297
0.7,13,1297
0.7,14,1297
0.7,15,1297
0.7,16,1297
0.7,17,1297
0.7,18,1297
0.7,19,1297
0.7,20,1297
0.7,21,1297
0.7,22,1297
0.7,23,1297
0.7,24,1297
0.7,25,1297
0.7,26,1297
0.7,27,1297
0.7,28,1297
0.7,29,1297
0.8,0,1297
0.8,1,1297
0.8,2,1297
0.8,3,1297
0.8,4,1297
0.8,5,1297
0.8,6,1297
0.8,7,1297
0.8,8,1297
0.8,9,1297
0.8,10,1297
0.8,11,1297
0.8,12,1297
0.8,13,1297
0.8,14,1297
0.8,15,1297
0.8,16,1297
0.8,17,1297
0.8,18,1297
0.8,19,1305
0.8,20,1297
0.8,21,1297
0.8,22,1297
0.8,23,1297
0.8,24,1297
0.8,25,1297
0.8,26,1297
0.8,27,1297
0.8,28,1297
0.8,29,1297
0.85,0,1297
0.85,1,1302
0.85,2,1297
0.85,3,1297
0.85,4,1297
0.85,5,1297
0.85,6,1297
0.85,7,1297
0.85,8,1297
0.85,9,1297
0.85,10,1297
0.85,11,1297
0.85,12,1297
0.85,13,1297
0.85,14,1297
0.85,15,1297
0.85,16,1297
0.85,17,1297
0.85,18,1297
0.85,19,1297
0.85,20,1297
0.85,21,1297
0.85,22,1297
0.85,23,1297
0.85,24,1297
0.85,25,1297
0.85,26,1297
0.85,27,1297
0.85,28,1297
0.85,29,1297
0.9,0,1297
0.9,1,1297
0.9,2,1297
0.9,3,1297
0.9,4,1297
0.9,5,1297
0.9,6,1297
0.9,7,1297
0.9,8,1297
0.9,9,1297
0.9,10,1297
0.9,11,1297
0.9,12,1297
0.9,13,1297
0.9,14,1302
0.9,15,1297
0.9,16,1297
0.9,17,1297
0.9,18,1297
0.9,19,1297
0.9,20,1297
0.9,21,1297
0.9,22,1297
0.9,23,1297
0.9,24,1297
0.9,25,1297
0.9,26,1297
0.9,27,1297
0.9,28,1297
0.9,29,1297
0.95,0,1297
0.95,1,1297
0.95,2,1297
0.95,3,1297
0.95,4,1297
0.95,5,1297
0.95,6,1297
0.95,7,1297
0.95,8,1297
0.95,9,1297
0.95,10,1297
0.95,11,1297
0.95,12,1297
0.95,13,1297
0.95,14,1297
0.95,15,1297
0.95,16,1297
0.95,17,1297
0.95,18,1297
0.95,19,1297
0.95,20,1297
0.95,21,1297
0.95,22,1297
0.95,23,1297
0.95,24,1297
0.95,25,1297
0.95,26,1297
0.95,27,1297
0.95,28,1297
0.95,29,1297
1,0,1297
1,1,1297
1,2,1297
1,3,1297
1,4,1297
1,5,1297
1,6,1297
1,7,1297
1,8,1297
1,9,1297
1,10,1297
1,11,1302
1,12,1297
1,13,1297
1,14,1297
1,15,1297
1,16,1297
1,17,1297
1,18,1297
1,19,1297
1,20,1297
1,21,1297
1,22,1297
1,23,1297
1,24,1297
1,25,1297
1,26,1294
1,27,1297
1,28,1294
1,29,1294
