pm,runs,mean,std_dev,min,max,median,ci_lower,ci_upper
0.01,30,1636.37,19.3916,1609,1681,1632.5,1629.43,1643.31
0.05,30,1632.27,14.9598,1604,1681,1628,1626.91,1637.62
0.1,30,1625.43,13.6935,1603,1663,1626.5,1620.53,1630.33
0.15,30,1628,16.2008,1605,1674,1620.5,1622.2,1633.8
0.2,30,1624.3,10.8387,1595,1646,1626.5,1620.42,1628.18
0.3,30,1621.77,9.36904,1596,1639,1620.5,1618.41,1625.12
0.4,30,1626.33,13.1791,1602,1649,1623,1621.62,1631.05
0.5,30,1615.57,11.1525,1586,1644,1618,1611.58,1619.56
