Generation,Best,Worst,Avg
259,29926,29963,29950.2
260,29863,29944,29922.4
261,29849,29944,29894.4
262,29886,29944,29932.4
263,29944,29944,29944
264,29944,30018,29958.8
265,29944,30047,29992.6
266,29944,30047,30004
267,29983,30047,30006
268,29972,30047,30001.2
269,29911,29983,29966.4
270,29929,29984,29970.2
271,29983,29983,29983
272,29983,29983,29983
273,29983,29983,29983
274,29983,29983,29983
275,29983,29983,29983
276,29983,29991,29984.6
277,29983,29991,29989.4
278,29991,30076,30008
279,29947,30076,30011.2
280,29991,30051,30003
281,29991,29991,29991
282,29991,30019,29996.6
283,29991,30023,29997.4
284,29968,29991,29982
285,29944,29969,29963.4
286,29910,30011,29960.2
287,29884,29968,29935.6
288,29855,29968,29914.4
289,29843,29914,29881.4
290,29842,29914,29880.6
291,29869,29937,29902.8
292,29869,29960,29914.2
293,29847,29953,29895.2
294,29843,29892,29879.2
295,29834,29892,29864.6
296,29834,29892,29875.4
297,29834,29892,29870.4
298,29834,29892,29872
299,29834,29892,29857.8
300,29834,29892,29873
301,29834,29892,29868.8
302,29834,29895,29881
303,29834,29892,29868.8
304,29834,29892,29880.4
305,29834,29892,29857.2
306,29834,29892,29879.8
307,29834,29892,29864
308,29780,29926,29845
309,29817,29909,29857.4
310,29815,29920,29875.2
311,29815,29861,29836.4
312,29844,29861,29851.8
313,29840,29944,29871.8
314,29834,29867,29850.4
315,29820,29864,29847
316,29820,29867,29852
317,29808,29873,29833.2
318,29808,29873,29825.8
319,29801,29873,29835.8
320,29789,29840,29808.2
321,29801,29877,29833
322,29820,29882,29855.2
323,29820,29917,29859.8
324,29820,29917,29855.4
325,29820,29969,29884
326,29846,29934,29876.4
327,29819,29934,29872.6
328,29817,29881,29855.8
329,29785,29896,29839.6
330,29864,29907,29886.8
331,29871,30012,29913.6
332,29881,30012,29909.2
333,29881,30012,29920.6
334,29802,29990,29891.4
335,29903,29990,29942.8
336,29903,29946,29932.6
337,29923,29946,29936.8
338,29923,29946,29936.8
339,29923,29946,29941.4
340,29923,29946,29941.4
341,29946,29956,29948
342,29935,29972,29949
343,29908,30011,29956.6
344,29869,30004,29932.4
345,29908,29946,29929.6
346,29945,29999,29956.4
347,29899,29946,29928
348,29893,29946,29916.4
349,29899,29961,29922
350,29893,29961,29922.2
351,29865,29916,29894.6
352,29865,29965,29896.2
353,29924,29965,29948
354,29897,29970,29940.6
355,29876,29965,29917
356,29865,29965,29912.2
357,29865,29989,29943.4
358,29865,29917,29877.4
359,29875,29918,29895
360,29865,29918,29888.2
361,29865,29924,29901.6
362,29905,29924,29916
363,29898,29994,29929
364,29869,29926,29897.2
365,29898,29933,29910.6
366,29898,29926,29903.6
367,29824,29898,29883.2
368,29898,29904,29899.2
369,29898,29898,29898
370,29898,29898,29898
371,29898,29898,29898
372,29898,29898,29898
373,29898,29898,29898
374,29898,29938,29906
375,29898,29898,29898
376,29898,29965,29913.2
377,29898,29926,29903.6
378,29898,29926,29903.6
379,29898,29898,29898
380,29898,29975,29913.4
381,29898,29975,29918.8
382,29898,29925,29905
383,29879,29913,29897.2
384,29879,29898,29894.2
385,29817,29923,29875.4
386,29817,29923,29898.2
387,29888,29948,29910.2
388,29888,29987,29926.4
389,29888,29987,29942.8
390,29888,30029,29971
391,29955,30029,29992.8
392,29902,29964,29946.2
393,29955,29955,29955
394,29924,29955,29948.8
395,29924,29955,29942.6
396,29955,29955,29955
397,29955,29987,29961.4
398,29955,30100,29989.2
399,29955,30094,30004.2
400,30005,30094,30057
401,30029,30094,30064.8
402,29989,30094,30057.6
403,30051,30118,30088
404,30024,30159,30101.4
405,30061,30118,30082.8
406,30061,30235,30107.4
407,30037,30117,30080
408,30061,30117,30093
409,30061,30088,30066.4
410,30061,30088,30075.2
411,30061,30088,30078.6
412,30078,30123,30094.2
413,30078,30141,30099.6
414,30078,30123,30087
415,30050,30123,30080
416,30078,30182,30099.6
417,30078,30078,30078
418,29994,30143,30077.6
419,29994,30078,30021
420,29994,30114,30057
421,30042,30114,30085.2
422,30114,30135,30122.4
423,30095,30114,30109
424,30114,30114,30114
425,30114,30114,30114
426,30114,30114,30114
427,30114,30131,30117.4
428,30056,30114,30101.8
429,30070,30114,30098.6
430,30070,30114,30093.8
431,30085,30187,30122.8
432,30085,30130,30105.6
433,30085,30130,30117.8
434,30110,30198,30139.6
435,30110,30187,30137.4
436,30130,30187,30152.8
437,30130,30137,30131.4
438,30130,30162,30137.8
439,30130,30130,30130
440,30130,30130,30130
441,30130,30209,30145.8
442,30130,30160,30136
443,30130,30261,30164.4
444,30130,30261,30210.4
445,30128,30317,30207
446,30236,30301,30274.6
447,30236,30292,30271.4
448,30290,30309,30294.2
449,30189,30378,30296.8
450,30243,30310,30274.6
451,30243,30243,30243
452,30243,30243,30243
453,30243,30243,30243
454,30243,30243,30243
455,30243,30291,30259.8
456,30243,30302,30254.8
457,30222,30321,30266.2
458,30243,30350,30273.6
459,30243,30289,30257
460,30261,30289,30283.4
461,30261,30302,30280.4
462,30261,30302,30291.2
463,30238,30302,30284
464,30238,30302,30269.8
465,30238,30299,30259
466,30238,30299,30266.8
467,30273,30299,30293.4
468,30273,30313,30296.2
469,30299,30313,30304.6
470,30299,30313,30301.8
471,30299,30299,30299
472,30299,30299,30299
473,30299,30299,30299
474,30299,30334,30315.4
475,30256,30313,30290
476,30278,30290,30285.8
477,30233,30290,30267.4
478,30263,30290,30283.4
479,30274,30290,30283.2
480,30274,30278,30275
481,30255,30278,30269.4
482,30259,30333,30287.4
483,30219,30383,30297.6
484,30210,30311,30270.2
485,30224,30299,30256.2
486,30192,30275,30243.6
487,30172,30252,30214.2
488,30172,30244,30206.8
489,30215,30260,30225.8
490,30202,30314,30241.2
491,30199,30314,30249.6
492,30172,30338,30247.8
493,30211,30297,30263
494,30200,30278,30241.8
495,30200,30338,30269
496,30200,30359,30252.4
497,30200,30312,30234.4
498,30109,30242,30202.2
499,30186,30200,30197.2
500,30192,30216,30201.6
501,30151,30309,30210.4
502,30151,30230,30196.2
503,30151,30233,30202.8
504,30151,30200,30185.8
505,30182,30200,30189.2
506,30182,30182,30182
507,30182,30182,30182
508,30182,30182,30182
509,30182,30217,30189
510,30160,30182,30177.6
511,30096,30182,30160.4
512,30160,30186,30174
513,30182,30186,30183.2
514,30151,30205,30179
515,30090,30182,30150
516,30161,30224,30195
517,30172,30208,30186.4
518,30150,30208,30177.8
519,30119,30213,30164.4
520,30119,30199,30169.2
521,30138,30176,30157.8
522,30079,30176,30151.6
523,30117,30184,30155.8
524,30085,30184,30145.4
525,30100,30184,30148.8
526,30140,30191,30163.2
527,30114,30161,30150.8
528,30044,30161,30135.2
529,30097,30161,30139.2
530,30057,30157,30124
531,30092,30157,30120
532,30085,30157,30118.6
533,30068,30161,30117.2
534,30107,30157,30131
535,30091,30157,30125.8
536,30107,30199,30130.2
537,30044,30199,30131.6
538,30109,30117,30110.6
539,30109,30117,30110.6
540,30080,30109,30103.2
541,30109,30109,30109
542,30109,30109,30109
543,30094,30183,30120.8
544,30094,30183,30120.8
545,30067,30132,30105.2
546,30067,30109,30089
547,30067,30105,30085.6
548,30007,30105,30069
549,30007,30105,30065.8
550,30007,30105,30081.4
551,30007,30105,30081.4
552,30038,30115,30077
553,29970,30128,30057.8
554,30038,30138,30102.2
555,30073,30134,30097.2
556,30073,30119,30088.4
557,30000,30119,30067.8
558,30058,30089,30070.2
559,30031,30122,30080.6
560,30005,30104,30075.8
561,30062,30104,30087.2
562,30062,30104,30077
563,30062,30104,30079
564,30062,30104,30090.2
565,30062,30103,30090
566,30062,30096,30081.6
567,30034,30090,30063.8
568,30065,30125,30090
569,30052,30069,30063.2
570,30065,30145,30082.8
571,30059,30105,30074.8
572,29996,30105,30070.2
573,29993,30183,30083.8
574,30105,30183,30142.8
575,30090,30172,30146.4
576,30149,30149,30149
577,30149,30149,30149
578,30149,30149,30149
579,30149,30230,30165.2
580,30149,30249,30187.8
581,30143,30249,30214.8
582,30185,30249,30223
583,30185,30289,30243.8
584,30060,30244,30182.4
585,30198,30244,30226.6
586,30212,30320,30251.4
587,30178,30244,30226.2
588,30198,30244,30222.6
589,30167,30285,30224.2
590,30167,30223,30185.2
591,30149,30200,30178.2
592,30164,30200,30178.2
593,30146,30233,30185.4
594,30153,30233,30193.4
595,30169,30233,30183.8
596,30169,30233,30185.8
597,30179,30233,30189.8
598,30179,30233,30199
599,30140,30225,30176.4
600,30111,30225,30166.8
601,30179,30225,30188.2
602,30179,30197,30182.6
603,30179,30179,30179
604,30179,30179,30179
605,30089,30179,30161
606,30078,30179,30123.6
607,30036,30155,30101.8
608,30083,30190,30132.2
609,30035,30117,30096.2
610,30035,30117,30086.8
611,30035,30117,30078.2
